Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
194,now,Personal Lies,3,1,10,False,10,7
195,she's,Personal Lies,5,1,11,True,11,10
196,moving,Personal Lies,6,2,7,False,7,4
197,faster,Personal Lies,6,2,9,False,9,8
198,now,Personal Lies,3,1,10,False,10,7
199,faster,Personal Lies,6,2,9,False,9,8
200,than,Personal Lies,4,1,5,False,5,4
201,sound,Personal Lies,5,2,5,False,5,4
202,itself,Personal Lies,6,2,4,True,4,4
203,faster,Personal Lies,6,2,9,False,9,8
204,than,Personal Lies,4,1,5,False,5,4
205,sound,Personal Lies,5,2,5,False,5,4
206,itself,Personal Lies,6,2,4,True,4,4
207,well,Personal Lies,4,1,2,False,2,2
208,she's,Personal Lies,5,1,11,True,11,10
209,got,Personal Lies,3,1,7,False,7,6
210,me,Personal Lies,2,1,21,True,21,4
211,slipping,Personal Lies,8,2,3,False,3,3
212,when,Personal Lies,4,1,8,False,8,5
213,i,Personal Lies,1,1,67,True,67,22
214,don't,Personal Lies,5,1,12,False,12,5
215,know,Personal Lies,4,1,10,False,10,7
216,what,Personal Lies,4,1,3,False,3,3
217,is,Personal Lies,2,1,10,False,10,5
218,on,Personal Lies,2,1,11,False,11,4
219,my,Personal Lies,2,0,33,True,33,14
220,mind,Personal Lies,4,1,7,False,7,5
221,that,Personal Lies,4,1,15,False,15,7
222,she's,Personal Lies,5,1,11,True,11,10
223,mysterious,Personal Lies,10,4,5,False,5,5
224,mysterious,Personal Lies,10,4,5,False,5,5
225,and,Personal Lies,3,1,19,False,19,4
226,now,Personal Lies,3,1,10,False,10,7
227,i,Personal Lies,1,1,67,True,67,22
228,know,Personal Lies,4,1,10,False,10,7
229,it,Personal Lies,2,1,21,False,21,5
230,do,Personal Lies,2,1,15,False,15,13
231,you,Personal Lies,3,2,52,True,52,19
232,care,Personal Lies,4,2,18,False,18,17
233,do,Personal Lies,2,1,15,False,15,13
