Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
1157,my,Purgatory Silverstar,2,0,33,True,33,10
1158,life,Purgatory Silverstar,4,2,8,False,8,6
1159,i'll,Purgatory Silverstar,4,1,6,True,6,6
1160,pay,Purgatory Silverstar,3,1,6,False,6,6
1161,my,Purgatory Silverstar,2,0,33,True,33,10
1162,dues,Purgatory Silverstar,4,2,6,False,6,6
1163,i'll,Purgatory Silverstar,4,1,6,True,6,6
1164,pay,Purgatory Silverstar,3,1,6,False,6,6
1165,my,Purgatory Silverstar,2,0,33,True,33,10
1166,dues,Purgatory Silverstar,4,2,6,False,6,6
1167,i'll,Purgatory Silverstar,4,1,6,True,6,6
1168,pay,Purgatory Silverstar,3,1,6,False,6,6
1169,my,Purgatory Silverstar,2,0,33,True,33,10
1170,dues,Purgatory Silverstar,4,2,6,False,6,6
1171,i,Purgatory Silverstar,1,1,67,True,67,7
1172,took,Purgatory Silverstar,4,2,2,False,2,2
1173,it,Purgatory Silverstar,2,1,21,False,21,3
1174,for,Purgatory Silverstar,3,1,11,False,11,5
1175,granted,Purgatory Silverstar,7,2,2,False,2,2
1176,all,Purgatory Silverstar,3,1,21,False,21,2
1177,that,Purgatory Silverstar,4,1,15,False,15,2
1178,you,Purgatory Silverstar,3,2,52,True,52,3
1179,do,Purgatory Silverstar,2,1,15,False,15,2
1180,comin,Purgatory Silverstar,5,2,1,False,1,1
1181,up,Purgatory Silverstar,2,1,7,False,7,2
1182,empty,Purgatory Silverstar,5,1,2,False,2,2
1183,handed,Purgatory Silverstar,6,2,2,False,2,2
1184,in,Purgatory Silverstar,2,1,17,False,17,5
1185,a,Purgatory Silverstar,1,1,21,False,21,9
1186,patchwork,Purgatory Silverstar,9,2,2,False,2,2
1187,of,Purgatory Silverstar,2,1,13,False,13,5
1188,truth,Purgatory Silverstar,5,1,2,False,2,2
1189,for,Purgatory Silverstar,3,1,11,False,11,5
1190,the,Purgatory Silverstar,3,1,31,False,31,8
1191,rest,Purgatory Silverstar,4,1,2,False,2,2
1192,of,Purgatory Silverstar,2,1,13,False,13,5
1193,my,Purgatory Silverstar,2,0,33,True,33,10
1194,life,Purgatory Silverstar,4,2,8,False,8,6
1195,i'll,Purgatory Silverstar,4,1,6,True,6,6
1196,pay,Purgatory Silverstar,3,1,6,False,6,6
1197,my,Purgatory Silverstar,2,0,33,True,33,10
1198,dues,Purgatory Silverstar,4,2,6,False,6,6
1199,i'll,Purgatory Silverstar,4,1,6,True,6,6
1200,pay,Purgatory Silverstar,3,1,6,False,6,6
1201,my,Purgatory Silverstar,2,0,33,True,33,10
1202,dues,Purgatory Silverstar,4,2,6,False,6,6
1203,i'll,Purgatory Silverstar,4,1,6,True,6,6
1204,pay,Purgatory Silverstar,3,1,6,False,6,6
1205,my,Purgatory Silverstar,2,0,33,True,33,10
1206,dues,Purgatory Silverstar,4,2,6,False,6,6
